label,timestamp
l,1749028888.9183798
l,1749028892.8631928
l,1749028897.089704
l,1749028900.9976816
l,1749028905.5722828
l,1749028909.7303743
l,1749028914.3016264
l,1749028926.7174387
l,1749028930.4067128
l,1749028933.7196293
l,1749028937.9812944
l,1749028942.878268
l,1749028947.4920232
l,1749028951.731383
l,1749028955.8594644
l,1749028962.246847
l,1749028967.875278
l,1749028973.3412557
l,1749028978.3192387
l,1749028983.506329
r,1749029002.5525665
r,1749029006.8194134
r,1749029011.078239
r,1749029015.6832912
r,1749029020.2826252
r,1749029024.5046394
r,1749029028.701021
r,1749029032.9414823
r,1749029037.3196046
r,1749029041.2445338
r,1749029045.3897943
r,1749029049.724799
r,1749029054.2080398
r,1749029058.1174812
r,1749029062.1902435
r,1749029066.882052
r,1749029071.6236057
r,1749029075.980334
r,1749029081.790279
r,1749029087.103759
n,1749029112.0431292
n,1749029115.0443585
n,1749029119.2833152
n,1749029121.979647
n,1749029124.819704
n,1749029127.70979
n,1749029130.628497
n,1749029133.7270823
n,1749029136.7821832
n,1749029139.997593
n,1749029143.4821587
n,1749029146.4687924
n,1749029149.7304232
n,1749029152.7185707
n,1749029155.809549
n,1749029158.6619532
n,1749029161.6873477
n,1749029164.6174502
n,1749029167.7773118
n,1749029171.3203547
f,1749029180.0307503
f,1749029184.9182405
f,1749029189.8843813
f,1749029195.6917176
f,1749029201.7788517
f,1749029207.0112963
f,1749029212.830446
f,1749029224.6719506
f,1749029230.9755766
f,1749029236.4497714
f,1749029244.0925195
f,1749029249.8039966
f,1749029261.836815
f,1749029275.9611142
f,1749029281.0160923
f,1749029288.0399022
f,1749029293.5064223
f,1749029298.9108758
f,1749029304.448349
f,1749029324.5027926
