CorrectAnswers;TotalAnswers;TargetByStep;AnswerByStep;TimeToTarget;AllTargets;PressureLeft;PressureFront;PressureRight
0;10;h-front;m-left;6.82;h-front;40;0;0
-;-;m-front;m-left;7.15;h-front;40;0;0
-;-;l-left;m-left;8.39;m-front;40;0;0
-;-;l-front;m-left;4.07;m-front;40;0;0
-;-;h-right;m-left;3.45;m-front;40;0;0
-;-;h-right;m-left;2.82;l-left;40;0;0
-;-;l-right;m-left;3.06;l-left;40;0;0
-;-;h-right;m-left;3.27;l-left;40;0;0
-;-;m-right;m-left;3.12;l-left;40;0;0
-;-;h-front;m-left;2.98;l-left;40;0;0
-;-;-;-;-;l-front;40;0;0
-;-;-;-;-;l-front;40;0;0
-;-;-;-;-;l-front;40;0;0
-;-;-;-;-;h-right;40;0;0
-;-;-;-;-;h-right;40;0;0
-;-;-;-;-;h-right;40;0;0
-;-;-;-;-;h-right;40;0;0
-;-;-;-;-;h-right;40;0;0
-;-;-;-;-;h-right;40;0;0
-;-;-;-;-;l-right;40;0;0
-;-;-;-;-;l-right;40;0;0
-;-;-;-;-;l-right;40;0;0
-;-;-;-;-;h-right;40;0;0
-;-;-;-;-;h-right;40;0;0
-;-;-;-;-;h-right;40;0;0
-;-;-;-;-;m-right;40;0;0
-;-;-;-;-;m-right;40;0;0
-;-;-;-;-;m-right;40;0;0
-;-;-;-;-;h-front;40;0;0
-;-;-;-;-;h-front;40;0;0
-;-;-;-;-;h-front;40;0;0
