CorrectAnswers;TotalAnswers;TargetByStep;AnswerByStep;TimeToTarget;AllTargets;PressureLeft;PressureFront;PressureRight
5;10;m;m;6.40;m;40;0;0
-;-;m;m;3.79;m;40;0;0
-;-;h;m;4.05;m;40;0;0
-;-;h;m;3.18;m;40;0;0
-;-;m;m;2.91;m;40;0;0
-;-;h;m;3.07;m;40;0;0
-;-;l;m;2.84;h;40;0;0
-;-;m;m;2.82;h;40;0;0
-;-;l;m;3.82;h;40;0;0
-;-;m;m;3.08;h;40;0;0
-;-;-;-;-;h;40;0;0
-;-;-;-;-;h;40;0;0
-;-;-;-;-;h;40;0;0
-;-;-;-;-;h;40;0;0
-;-;-;-;-;h;40;0;0
-;-;-;-;-;m;40;0;0
-;-;-;-;-;m;40;0;0
-;-;-;-;-;m;40;0;0
-;-;-;-;-;m;40;0;0
-;-;-;-;-;m;40;0;0
-;-;-;-;-;h;40;0;0
-;-;-;-;-;h;40;0;0
-;-;-;-;-;h;40;0;0
-;-;-;-;-;h;40;0;0
-;-;-;-;-;h;40;0;0
-;-;-;-;-;l;40;0;0
-;-;-;-;-;l;40;0;0
-;-;-;-;-;l;40;0;0
-;-;-;-;-;l;40;0;0
-;-;-;-;-;l;40;0;0
-;-;-;-;-;m;40;0;0
-;-;-;-;-;m;40;0;0
-;-;-;-;-;m;40;0;0
-;-;-;-;-;m;40;0;0
-;-;-;-;-;l;40;0;0
-;-;-;-;-;l;40;0;0
-;-;-;-;-;l;40;0;0
-;-;-;-;-;l;40;0;0
-;-;-;-;-;m;40;0;0
-;-;-;-;-;m;40;0;0
-;-;-;-;-;m;40;0;0
-;-;-;-;-;m;40;0;0
